Station_Name,Station_Latitude,Station_Longitude
Acton,51.5070812,-0.276999299999943
Addington,51.351802,-0.023967999999968
Barking,51.529679,0.089264
Barnet,51.6472715,-0.18591390000006
Battersea,51.467096,-0.169239
Beckenham,51.4080584,-0.0341092999999546
Belsize,51.545268,-0.166168
Bethnal Green,51.527641,-0.053505
Bexley,51.461128,0.153598999999986
Biggin Hill,51.313587,0.0340489999999818
Brixton,51.4637353,-0.1093956
Bromley,51.407031,0.0171169999999847
Chelsea,51.487155,-0.170288
Chingford,51.6295369,-0.00480820000007043
Chiswick,51.4905383,-0.2690193
Clapham,51.464916,-0.140934
Clerkenwell,51.524552,-0.11055
Croydon,51.3690207,-0.10513990000004
Dagenham,51.559357,0.156898
Deptford,51.484804,-0.033646
Dockhead,51.500622,-0.070724
Dowgate,51.509926,-0.0901699999999437
Ealing,51.511948,-0.313797
East Greenwich,51.486942,0.021973
East Ham,51.523271,0.056992
Edmonton,51.6268182,-0.0684826000000385
Eltham,51.4509208,0.0593605
Enfield,51.6600165,-0.0523107999999866
Epsom,51.478486,0.181374000000005
Erith,51.485535,0.15653999999995
Euston,51.527756,-0.130806
Feltham,51.4609715,-0.413566899999978
Finchley,51.5978768,-0.179353099999958
Forest Hill,51.442535,-0.0451030000000401
Fulham,51.477962,-0.200844
Greenwich,51.4741665,-0.0136505000000398
Hainault,51.606291,0.10437
Hammersmith,51.496133,-0.22419
Harold Hill,51.597652,0.224274000000037
Harrow,51.590829,-0.366309000000001
Hayes,51.494436,-0.431671000000051
Heathrow,51.4799327,-0.460599499999944
Hendon,51.5888631,-0.228615300000001
Heston and Isleworth,51.47499,-0.34319400000004
Hillingdon,51.532246,-0.451968999999963
Holloway,51.561576,-0.116038
Homerton,51.5485918,-0.0439078
Hornchurch,51.564558,0.220491000000038
Hornsey,51.586511,-0.12722
Ilford,51.562345,0.089951
Islington,51.540143,-0.10231
Kensington,51.502763,-0.189939
Kentish Town,51.55274,-0.141792
Kingston,51.429418,-0.306599000000006
Knightsbridge,51.500836,-0.161018
Lambeth,51.492713,-0.121193
Lee Green,51.45636,0.01236
Lewisham,51.457216,-0.01339
Leyton,51.562985,-0.016479
Leytonstone,51.560731,0.008433
Mill Hill,51.6150912,-0.243471699999986
Millwall,51.500622,-0.026093
Mitcham,51.3972109,-0.172744999999964
New Cross,51.4736774,-0.0494155000000092
New Malden,51.399066,-0.245390000000043
Norbury,51.406794,-0.121410999999966
North Kensington,51.5218253,-0.2122271
Northolt,51.554656,-0.359549000000015
Old Kent Road,51.486942,-0.073471
Orpington,51.3720935,0.1110935
Paddington,51.520066,-0.182991
Park Royal,51.5361455,-0.266604499999971
Peckham,51.473899,-0.077934
Plaistow,51.521134,0.032272
Plumstead,51.487369,0.091324
Poplar,51.510879,-0.014763
Purley,51.3318425,-0.124801
Richmond,51.467436,-0.28487199999995
Romford,51.593602,0.181103
Ruislip,51.5883128,-0.436541300000044
Shadwell,51.511021,-0.055907
Shoreditch,51.526515,-0.085447
Sidcup,51.427395,0.0940067000000226
Soho,51.512462,-0.130084
Southall,51.511285,-0.374434000000065
Southgate,51.630493,-0.127322999999933
Southwark,51.502047,-0.0979800000000068
Stanmore,51.603659,-0.297596999999996
Stoke Newington,51.562345,-0.076904
Stratford,51.543559,0.010986
Surbiton,51.392244,-0.298058999999967
Sutton,51.368908,-0.21118100000001
Tooting,51.43784,-0.162710999999945
Tottenham,51.5925699,-0.0715565000000424
Twickenham,51.435159,-0.348005000000057
Wallington,51.3622614,-0.147596199999953
Walthamstow,51.5896043,-0.0288708
Wandsworth,51.456574,-0.20153
Wembley,51.5517972,-0.303989399999978
Wennington,51.506178,0.220413
West Hampstead,51.551672,-0.192947
Westminster,51.496561,-0.134239
West Norwood,51.4258523,-0.105313600000045
Whitechapel,51.515152,-0.069351
Willesden,51.544413,-0.236549
Wimbledon,51.415562,-0.197450000000003
Woodford,51.60944,0.0240840000000162
Woodside,51.385856,-0.0620710000000599
Essex,51.6435563,0.6198578
Basildon,51.5721273,0.4609305
Billericay,51.6207269,0.4164602
Braintree,51.8782611,0.5586152
Brentwood,51.6230032,0.3007033
Brightlingsea,51.8101629,1.0205635
Burnham-on-Crouch,51.6293522,0.8174652
Canvey Island,51.5199165,0.583125
Chelmsford,51.7347079,0.4596471
Clacton,51.8041493,1.1472455
Coggeshall,51.8781392,0.6925004
Colchester,51.8971914,0.9016085
Corringham,51.5264924,0.464541
Dovercourt,51.9313403,1.258882
Dunmow,51.8725763,0.3579869
Epping,51.6972318,0.1095918
Frinton,51.8374763,1.246206
Grays,51.490927,0.3203191
Great Baddow,51.7186621,0.5049701
Halstead,51.9402774,0.6399008
Harwich,51.9317395,1.2591638
Hawkwell,51.5978865,0.6641707
Harlow Central,51.7725838,0.0928115
Ingatestone,51.6686708,0.3809786
Leadon Roding,51.797772,0.3112392
Leigh,51.5542389,0.6666443
Loughton,51.6440067,0.0531281
Maldon,51.7235831,0.6641304
Manningtree,51.945758,1.0649515
Newport,51.982582,0.2151362
Old Harlow,51.7830211,0.1386748
Ongar Community,51.7025513,0.2442244
Orsett,51.5063742,0.3837777
Rayleigh Weir,51.5749368,0.5974257
Saffron Walden,52.0226142,0.2404847
Sible Hedingham,51.9797103,0.5883663
Southend,51.5561761,0.7163578
South Woodham,51.6435563,0.6198578
Stansted,51.9028733,0.194884
Thaxted,51.952279,0.3500748
Tollesbury,51.758627,0.829982
Tillingham,51.6992344,0.8804787
Tiptree,51.8110326,0.7503883
Waltham Abbey,51.6836553,0.0016201
Weeley,51.8438272,1.1250584
West Mersea,51.778205,0.9135744
Wethersfield,51.9545015,0.4845021
Wickford,51.6096064,0.51881
Witham,51.7939237,0.6319821
Wivenhoe,51.8692796,0.9627595
Aldington,51.0925029,0.943495
Ash-cum-Ridley,51.3634765,0.297462
Ashford,51.1497358,0.8823254
Aylesham,51.2246306,1.1984007
Borough Green,51.292721,0.303302
Canterbury,51.2757688,1.0819725
Chatham,51.3728064,0.5553559
Charing,51.2129762,0.7910124
Dartford,51.4395335,0.2447403
Deal,51.2227309,1.3962531
Dover,51.1284742,1.3088256
Dymchurch,51.024202,0.992289
Eastchurch,51.3978298,0.852698
Sandwich,51.2445003,1.306999
Edenbridge,51.1940519,0.0651659
Faversham,51.3077402,0.8883415
Folkestone,51.0871846,1.1747549
Grain,51.4556966,0.7112524
Hawkhurst,51.0487952,0.5116803
Headcorn,51.166679,0.6267545
Herne Bay,51.3714793,1.1289649
Hoo,51.4200373,0.5552788
Hythe,51.0663116,1.0779895
Larkfield,51.3013279,0.4416249
Lenham,51.2358266,0.7168451
Lydd,50.9497206,0.9028124
Maidstone,51.255039,0.529165
Marden,51.1756896,0.4901233
Margate,51.3835985,1.3821769
New Romney,50.9849946,0.9397322
Paddock Wood,51.1735988,0.3849614
Rainham,51.3654535,0.6122752
Ramsgate,51.3338402,1.4178258
Rochester,51.3582952,0.5068141
Sevenoaks,51.279374,0.176655
Sheppey,51.4374837,0.764779
Sittingbourne,51.340727,0.7394982
Southborough,51.1540615,0.2607985
Strood,51.4031001,0.4785366
Swanley,51.397147,0.1728518
Swanscombe,51.4479379,0.3092309
Tenterden,51.0798024,0.6945098
Teynham,51.332109,0.7586399
Thames Side,51.4251196,0.3533485
Tonbridge,51.1947547,0.2856399
Tunbridge Wells,51.1292106,0.2665601
Westgate,51.378592,1.3337177
Westerham,51.2677842,0.0684014
Whitfield,51.1609386,1.2903268
Whitstable,51.349062,1.021138
Wingham,51.2692796,1.2179561
Wye,51.1823203,0.9354665
Hertford,51.796427,-0.071346
Baldock and Letchworth,51.9849374,-0.191473
Berkhamsted,51.7611716,-0.5596583
Bishops Stortford,51.8757299,0.1412575
Borehamwood,51.6590453,-0.2667167
Buntingford,51.944563,-0.0168714
Cheshunt,51.7022389,-0.0378869
Garston,51.6807433,-0.393727
Harpenden,51.8120662,-0.3545644
Hatfield,51.7682073,-0.2322786
Hemel Hempstead,51.7578369,-0.4710641
Hitchin,51.9449463,-0.2705375
Hoddesdon,51.7635304,-0.0104724
Kings Langley,51.715034,-0.45159
Markyate,51.8358865,-0.460703
Much Hadham,51.8481349,0.0700167
Potters Bar,51.6933689,-0.1855044
Redbourn,51.8006918,-0.39633
Rickmansworth,51.6390386,-0.4775499
Royston,52.0484039,-0.0284008
Sawbridgeworth,51.8149238,0.1509893
Stevenage,51.9005027,-0.1986417
Tring,51.7958183,-0.659234
Ware,51.8145129,-0.0347027
Watford,51.6514614,-0.3891509
Welwyn, 51.8286211,-0.212673
Wheathampstead,51.811504,-0.292811
Hertfordshire,51.6976528,-0.197867
Bushey,51.6456293,-0.3653741
Ascot,51.4097894,-0.6748017
Bracknell,51.4120342,-0.7570706
Caversham Road,51.4603599,-0.9781223
Crowthorne,51.3667604,-0.794356
Dee Road,51.4545712,-1.0149506
Hungerford,51.4150391,-1.5173843
Lambourn,51.5058552,-1.5262928
Langley,51.5000323,-0.5638554
Maidenhead,51.5253599,-0.7147273
Mortimer,51.3761818,-1.0645405
Newbury,51.4072959,-1.3182748
Pangbourne,51.4813085,-1.0831957
Slough,51.5116435,-0.6119164
Whitley Wood,51.4152116,-0.9690816
Windsor,51.4777562,-0.6533825
Wokingham,51.4105194,-0.8298091
Buckingamshire,51.8208558,-0.7940237
Amersham,51.6772552,-0.6007585
Beaconsfield,51.6001827,-0.6689547
Brill,51.8213479,-1.0505286
Broughton fire station,52.0476273,-0.7083645
Buckingham,51.9966773,-0.9785666
Chesham,51.7123732,-0.6146409
Gerrards Cross,51.5747821,-0.5349849
Great Missenden,51.7014314,-0.7049443
Haddenham,51.7744325,-0.9206682
High Wycombe,51.6276562,-0.750934
Marlow,51.5805347,-0.7578118
Newport Pagnell,52.084667,-0.728641
Olney,52.1568951,-0.7001142
Princes Risborough,51.7227946,-0.8287351
Stokenchurch,51.6588301,-0.899055
Waddesdon,51.8456151,-0.9219685
West Ashland,52.013698,-0.7363968
Winslow,51.9431997,-0.881589
Surrey,51.2437043,-0.1971176
Banstead,51.3236647,-0.1964708
Camberley,51.3470031,-0.7207389
Chertsey,51.3817171,-0.4896215
Chobham,51.3479293,-0.6066334
Cranleigh,51.1422111,-0.4843282
Dorking,51.2107526,-0.330487
Dunsfold,51.1185521,-0.5629361
Egham,51.43277,-0.542905
Esher,51.376705,-0.3459226
Farnham,51.2186211,-0.7888141
Staines,51.443414,-0.475162
Godalming,51.1886305,-0.6076109
Godstone,51.256832,-0.066605
Gomshall,51.2195186,-0.4492987
Guildford,51.2477479,-0.5738495
Haslemere,51.089563,-0.712236
Leatherhead,51.2928806,-0.3374118
Lingfield,51.1804791,-0.013538
Oxted,51.25604,0.0031952
Painshill,51.333287,-0.420181
Reigate,51.2421174,-0.1955592
Salfords,51.1998977,-0.1640479
Spelthorne,51.4261495,-0.4712551
Sunbury,51.4195,-0.42399
Walton,51.374786,-0.408259
Woking,51.3172415,-0.563195
